Planeta,Metodo,NumPlanetas,PeriodoOrbital,SemiejeMayor,Excentricidad,Inclinacion,MasaJup,RadioJup,Densidad,Distancia,MagnitudOptica,TempEfectiva,MasaEstelar,RadioEstelar,TamanoPlaneta,DistanciaCat,EdadEstrellaCat,MetodoSimplificado,TipoOrbita,SesgoTamano
Kepler-351 d,Transit,3,142.544247,,,,,0.243,,1078.0,15.99,5643.0,,0.85,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-352 b,Transit,2,10.05537,0.085,,,,0.077,,279.0,12.957,5212.0,,0.78,Pequeño,Medio,Media,Transito,Desconocida,Subdetectado
Kepler-352 c,Transit,2,16.332995,0.118,,,,0.111,,279.0,12.957,5212.0,,0.78,Pequeño,Medio,Media,Transito,Desconocida,Subdetectado
Kepler-353 b,Transit,2,5.795278,0.051,,,,0.079,,333.0,15.773,3903.0,,0.5,Pequeño,Medio,Fría,Transito,Desconocida,Subdetectado
Kepler-353 c,Transit,2,8.410894,0.065,,,,0.123,,333.0,15.773,3903.0,,0.5,Pequeño,Medio,Fría,Transito,Desconocida,Subdetectado
Kepler-354 b,Transit,3,5.47666,0.054,,,,0.164,,574.0,15.549,4648.0,,0.67,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-354 c,Transit,3,16.934402,0.115,,,,0.117,,574.0,15.549,4648.0,,0.67,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-354 d,Transit,3,24.209842,0.146,,,,0.111,,574.0,15.549,4648.0,,0.67,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-355 b,Transit,2,11.03189,0.102,,,,0.13,,1143.0,15.087,6184.0,,1.07,Pequeño,Lejano,Caliente,Transito,Desconocida,Subdetectado
Kepler-355 c,Transit,2,25.762294,0.179,,,,0.242,,1143.0,15.087,6184.0,,1.07,Pequeño,Lejano,Caliente,Transito,Desconocida,Subdetectado
Kepler-356 b,Transit,2,4.612696,0.057,,,,0.14,,639.0,12.992,6133.0,,1.33,Pequeño,Lejano,Caliente,Transito,Desconocida,Subdetectado
Kepler-356 c,Transit,2,13.121632,0.115,,,,0.161,,639.0,12.992,6133.0,,1.33,Pequeño,Lejano,Caliente,Transito,Desconocida,Subdetectado
Kepler-357 b,Transit,3,6.475434,0.063,,,,0.164,,741.0,15.565,5036.0,,0.83,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-357 c,Transit,3,16.85837,0.12,,,,0.238,,741.0,15.565,5036.0,,0.83,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-357 d,Transit,3,49.499875,0.246,,,,0.306,,741.0,15.565,5036.0,,0.83,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-358 b,Transit,2,34.060467,0.21,,,,0.243,,1067.0,15.375,5908.0,,0.95,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-358 c,Transit,2,83.488369,0.381,,,,0.254,,1067.0,15.375,5908.0,,0.95,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-359 b,Transit,3,25.563222,0.178,,,,0.315,,2037.0,15.886,6248.0,,1.09,Pequeño,Lejano,Caliente,Transito,Desconocida,Subdetectado
Kepler-359 c,Transit,3,57.68802,0.307,,,,0.384,,2037.0,15.886,6248.0,,1.09,Pequeño,Lejano,Caliente,Transito,Desconocida,Subdetectado
Kepler-359 d,Transit,3,77.095691,0.372,,,,0.358,,2037.0,15.886,6248.0,,1.09,Pequeño,Lejano,Caliente,Transito,Desconocida,Subdetectado
Kepler-36 b,Transit,2,13.83989,0.1153,0.039,90.01,0.014,0.133,7.46,470.0,11.866,5911.0,1.07,1.63,Pequeño,Medio,Media,Transito,Circular,Subdetectado
Kepler-36 c,Transit,2,16.23855,0.1283,0.033,89.98,0.025,0.328,0.89,470.0,11.866,5911.0,1.07,1.63,Pequeño,Medio,Media,Transito,Circular,Subdetectado
Kepler-360 b,Transit,2,3.289672,0.044,,,,0.147,,881.0,14.866,6053.0,,1.06,Pequeño,Lejano,Caliente,Transito,Desconocida,Subdetectado
Kepler-360 c,Transit,2,7.186434,0.075,,,,0.187,,881.0,14.866,6053.0,,1.06,Pequeño,Lejano,Caliente,Transito,Desconocida,Subdetectado
Kepler-361 b,Transit,2,8.486616,0.086,,,,0.129,,800.0,13.573,6169.0,,1.34,Pequeño,Lejano,Caliente,Transito,Desconocida,Subdetectado
Kepler-361 c,Transit,2,55.188023,0.3,,,,0.225,,800.0,13.573,6169.0,,1.34,Pequeño,Lejano,Caliente,Transito,Desconocida,Subdetectado
Kepler-362 b,Transit,2,10.327186,0.087,,,,0.079,,658.0,14.5,5788.0,,0.72,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-362 c,Transit,2,37.866281,0.207,,,,0.129,,658.0,14.5,5788.0,,0.72,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-363 b,Transit,3,3.614568,0.048,,,,0.103,,606.0,13.353,5593.0,,1.49,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-363 c,Transit,3,7.542427,0.079,,,,0.151,,606.0,13.353,5593.0,,1.49,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-363 d,Transit,3,11.932125,0.107,,,,0.183,,606.0,13.353,5593.0,,1.49,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-364 b,Transit,2,25.745718,0.178,,,,0.138,,941.0,13.66,6108.0,,1.28,Pequeño,Lejano,Caliente,Transito,Desconocida,Subdetectado
Kepler-364 c,Transit,2,59.980627,0.312,,,,0.192,,941.0,13.66,6108.0,,1.28,Pequeño,Lejano,Caliente,Transito,Desconocida,Subdetectado
Kepler-365 b,Transit,2,10.664903,0.098,,,,0.182,,950.0,14.651,6012.0,,1.05,Pequeño,Lejano,Caliente,Transito,Desconocida,Subdetectado
Kepler-365 c,Transit,2,17.784129,0.137,,,,0.146,,950.0,14.651,6012.0,,1.05,Pequeño,Lejano,Caliente,Transito,Desconocida,Subdetectado
Kepler-366 b,Transit,2,3.281959,0.045,,,,0.13,,1156.0,14.842,6209.0,,1.05,Pequeño,Lejano,Caliente,Transito,Desconocida,Subdetectado
Kepler-366 c,Transit,2,12.51616,0.11,,,,0.16,,1156.0,14.842,6209.0,,1.05,Pequeño,Lejano,Caliente,Transito,Desconocida,Subdetectado
Kepler-367 b,Transit,2,37.815724,0.201,,,,0.116,,198.0,12.879,4710.0,,0.69,Pequeño,Medio,Media,Transito,Desconocida,Subdetectado
Kepler-367 c,Transit,2,53.578637,0.253,,,,0.107,,198.0,12.879,4710.0,,0.69,Pequeño,Medio,Media,Transito,Desconocida,Subdetectado
Kepler-368 b,Transit,2,26.84768,0.186,,,,0.291,,488.0,12.848,5502.0,,2.02,Pequeño,Medio,Media,Transito,Desconocida,Subdetectado
Kepler-368 c,Transit,2,72.379334,0.36,,,,0.346,,488.0,12.848,5502.0,,2.02,Pequeño,Medio,Media,Transito,Desconocida,Subdetectado
Kepler-369 b,Transit,2,2.732756,0.03,,,,0.101,,214.0,15.673,3591.0,,0.47,Pequeño,Medio,Fría,Transito,Desconocida,Subdetectado
