Planeta,Metodo,NumPlanetas,PeriodoOrbital,SemiejeMayor,Excentricidad,Inclinacion,MasaJup,RadioJup,Densidad,Distancia,MagnitudOptica,TempEfectiva,MasaEstelar,RadioEstelar,TamanoPlaneta,DistanciaCat,EdadEstrellaCat,MetodoSimplificado,TipoOrbita,SesgoTamano
11 Com b,Radial Velocity,1,326.03,1.29,0.231,,19.4,,,93.37,4.74,4742.0,2.7,19.0,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
11 UMi b,Radial Velocity,1,516.21997,1.53,0.08,,14.74,,,125.72,5.016,4213.0,2.78,29.79,,Medio,Media,VelocidadRadial,Circular,Subdetectado
14 And b,Radial Velocity,1,185.84,0.83,0.0,,4.8,,,75.59,5.227,4813.0,2.2,11.0,,Cercano,Media,VelocidadRadial,Circular,Subdetectado
14 Her b,Radial Velocity,1,1773.40002,2.93,0.37,,4.66,,,17.94,6.61,5338.0,0.9,0.93,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
16 Cyg B b,Radial Velocity,1,798.5,1.66,0.68,,1.78,,,21.41,6.25,5750.0,1.08,1.13,,Cercano,Media,VelocidadRadial,Eliptica,Subdetectado
18 Del b,Radial Velocity,1,993.3,2.6,0.08,,10.3,,,76.38,5.506,4979.0,2.3,8.5,,Cercano,Media,VelocidadRadial,Circular,Subdetectado
1RXS J160929.1-210524 b,Imaging,1,,330.0,,,8.0,,,145.0,,4060.0,0.85,,,Medio,Media,ImagenDirecta,Desconocida,Subdetectado
24 Boo b,Radial Velocity,1,30.3506,0.19,0.042,,0.91,,,96.25,5.58,4893.0,0.99,10.64,,Cercano,Media,VelocidadRadial,Circular,Subdetectado
24 Sex b,Radial Velocity,2,452.8,1.333,0.09,,1.99,,,72.21,6.441,5098.0,1.54,4.9,,Cercano,Media,VelocidadRadial,Circular,Subdetectado
24 Sex c,Radial Velocity,2,883.0,2.08,0.29,,0.86,,,72.21,6.441,5098.0,1.54,4.9,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
2MASS J01225093-2439505 b,Imaging,1,,52.0,,,24.5,,,36.0,14.24,3530.0,0.4,,,Cercano,Fría,ImagenDirecta,Desconocida,Subdetectado
2MASS J02192210-3925225 b,Imaging,1,,156.0,,,13.9,1.44,,39.4,,3064.0,0.11,0.28,Mediano,Cercano,Fría,ImagenDirecta,Desconocida,Detectable
2MASS J04414489+2301513 b,Imaging,1,,15.0,,,7.5,,,140.0,,,0.02,,,Medio,,ImagenDirecta,Desconocida,Subdetectado
2MASS J12073346-3932539 b,Imaging,1,,46.0,,,4.0,,,52.4,20.15,,0.02,,,Cercano,,ImagenDirecta,Desconocida,Subdetectado
2MASS J19383260+4603591 b,Eclipse Timing Variations,1,416.0,0.92,,,1.9,,,396.36,12.264,,0.48,,,Medio,,Otro,Desconocida,Subdetectado
2MASS J21402931+1625183 A b,Imaging,1,7336.5,,0.26,46.2,20.95,0.92,,25.0,,2300.0,0.08,0.12,Mediano,Cercano,Fría,ImagenDirecta,Moderada,Subdetectado
2MASS J22362452+4751425 b,Imaging,1,,230.0,,,12.5,,,74.0,12.51,4045.0,0.6,,,Cercano,Media,ImagenDirecta,Desconocida,Subdetectado
30 Ari B b,Radial Velocity,1,335.10001,0.99,0.29,,13.82,,,44.71,6.962,6331.0,1.93,1.41,,Cercano,Caliente,VelocidadRadial,Moderada,Subdetectado
4 UMa b,Radial Velocity,1,269.3,0.87,0.432,,7.1,,,73.58,4.61,4415.0,1.23,18.11,,Cercano,Media,VelocidadRadial,Eliptica,Subdetectado
42 Dra b,Radial Velocity,1,479.1,1.19,0.38,,3.88,,,90.86,4.82,4200.0,0.98,22.03,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
47 UMa b,Radial Velocity,3,1078.0,2.1,0.032,,2.53,,,13.8,5.05,5892.0,1.03,1.23,,Cercano,Media,VelocidadRadial,Circular,Subdetectado
47 UMa c,Radial Velocity,3,2391.0,3.6,0.098,,0.54,,,13.8,5.05,5892.0,1.03,1.23,,Cercano,Media,VelocidadRadial,Circular,Subdetectado
47 UMa d,Radial Velocity,3,14002.0,11.6,0.16,,1.64,,,13.8,5.05,5892.0,1.03,1.23,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
51 Eri b,Imaging,1,,13.2,,,2.0,,,29.4,5.23,,1.75,,,Cercano,,ImagenDirecta,Desconocida,Subdetectado
51 Peg b,Radial Velocity,1,4.230785,0.0527,0.013,,0.472,,,15.47,5.5,5793.0,1.12,1.2,,Cercano,Media,VelocidadRadial,Circular,Subdetectado
55 Cnc b,Radial Velocity,5,14.65152,0.115227,0.0034,90.0,0.8306,,,12.59,5.96,5196.0,0.91,0.94,,Cercano,Media,VelocidadRadial,Circular,Subdetectado
55 Cnc c,Radial Velocity,5,44.4175,0.241376,0.02,90.0,0.1714,,,12.59,5.96,5196.0,0.91,0.94,,Cercano,Media,VelocidadRadial,Circular,Subdetectado
55 Cnc d,Radial Velocity,5,4825.0,5.503,0.019,90.0,3.878,,,12.59,5.96,5196.0,0.91,0.94,,Cercano,Media,VelocidadRadial,Circular,Subdetectado
55 Cnc e,Radial Velocity,5,0.736539,0.01544,,83.3,0.02542,0.17,6.4,12.59,5.96,5196.0,0.91,0.94,Pequeño,Cercano,Media,VelocidadRadial,Desconocida,Subdetectado
55 Cnc f,Radial Velocity,5,262.0,0.788,0.305,90.0,0.141,,,12.59,5.96,5196.0,0.91,0.94,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
6 Lyn b,Radial Velocity,1,934.3,2.11,0.073,,2.01,,,54.74,5.86,4938.0,1.44,5.2,,Cercano,Media,VelocidadRadial,Circular,Subdetectado
61 Vir b,Radial Velocity,3,4.215,0.050201,0.12,,0.016,,,8.51,4.74,5577.0,0.94,0.96,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
61 Vir c,Radial Velocity,3,38.021,0.2175,0.14,,0.057,,,8.51,4.74,5577.0,0.94,0.96,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
61 Vir d,Radial Velocity,3,123.01,0.476,0.35,,0.072,,,8.51,4.74,5577.0,0.94,0.96,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
7 CMa b,Radial Velocity,1,796.0,1.93,0.22,,2.46,,,19.82,3.92,4792.0,1.52,2.3,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
70 Vir b,Radial Velocity,1,116.688,0.481,0.3988,,7.416,,,17.91,4.97,5495.0,1.09,1.89,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
75 Cet b,Radial Velocity,1,691.9,2.1,0.117,,3.0,,,83.15,5.35,4846.0,2.49,10.5,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
8 UMi b,Radial Velocity,1,93.4,0.49,0.06,,1.31,,,159.1,6.83,4847.0,1.44,10.3,,Medio,Media,VelocidadRadial,Circular,Subdetectado
81 Cet b,Radial Velocity,1,952.7,2.5,0.206,,5.3,,,101.53,5.65,4785.0,2.4,11.0,,Medio,Media,VelocidadRadial,Moderada,Subdetectado
91 Aqr b,Radial Velocity,1,181.4,0.7,0.027,,3.2,,,44.08,4.25,4665.0,1.4,11.0,,Cercano,Media,VelocidadRadial,Circular,Subdetectado
AB Pic b,Imaging,1,,260.0,,,13.5,,,50.12,9.128,,,,,Cercano,,ImagenDirecta,Desconocida,Subdetectado
BD+03 2562 b,Radial Velocity,1,481.9,1.3,0.2,,6.4,,,2618.0,9.58,4095.0,1.14,32.35,,Lejano,Media,VelocidadRadial,Moderada,Subdetectado
BD+14 4559 b,Radial Velocity,1,268.94,0.78,0.29,,1.04,,,49.42,9.63,4864.0,0.49,0.86,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
BD+15 2375 b,Radial Velocity,1,153.22,0.576,0.001,,1.061,,,774.0,10.31,4649.0,1.08,8.95,,Lejano,Media,VelocidadRadial,Circular,Subdetectado
BD+15 2940 b,Radial Velocity,1,137.48,0.539,0.26,,1.11,,,431.61,9.046,4796.0,1.1,14.7,,Medio,Media,VelocidadRadial,Moderada,Subdetectado
BD+20 2457 b,Radial Velocity,2,379.63,1.05,0.15,,55.59,,,200.0,9.75,4259.0,10.83,71.02,,Medio,Media,VelocidadRadial,Moderada,Subdetectado
BD+20 2457 c,Radial Velocity,2,621.99,2.01,0.18,,12.47,,,200.0,9.75,4259.0,10.83,71.02,,Medio,Media,VelocidadRadial,Moderada,Subdetectado
BD+20 274 b,Radial Velocity,1,578.2,1.3,0.21,,4.2,,,1383.85,9.36,4296.0,0.8,17.3,,Lejano,Media,VelocidadRadial,Moderada,Subdetectado
BD+20 594 b,Transit,1,41.6855,,0.0,89.55,0.07,0.23,,180.39,11.038,5766.0,1.67,1.08,Pequeño,Medio,Media,Transito,Circular,Subdetectado
BD+48 738 b,Radial Velocity,1,392.6,1.0,0.2,,0.91,,,892.17,9.14,4414.0,0.74,11.0,,Lejano,Media,VelocidadRadial,Moderada,Subdetectado
BD+48 740 b,Radial Velocity,1,733.0,1.7,0.76,,1.7,,,678.94,8.699,4534.0,1.09,10.33,,Lejano,Media,VelocidadRadial,Eliptica,Subdetectado
BD+49 828 b,Radial Velocity,1,2590.0,4.2,0.35,,1.6,,,447.59,9.38,4943.0,1.52,7.6,,Medio,Media,VelocidadRadial,Moderada,Subdetectado
BD-06 1339 b,Radial Velocity,2,3.8728,0.0428,0.0,,0.027,,,20.28,9.7,4324.0,0.7,,,Cercano,Media,VelocidadRadial,Circular,Subdetectado
BD-06 1339 c,Radial Velocity,2,125.94,0.435,0.31,,0.17,,,20.28,9.7,4324.0,0.7,,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
BD-08 2823 b,Radial Velocity,2,5.6,0.06,0.15,,0.04,,,41.38,9.88,4816.0,0.5,0.71,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
BD-08 2823 c,Radial Velocity,2,237.6,0.68,0.19,,0.33,,,41.38,9.88,4816.0,0.5,0.71,,Cercano,Media,VelocidadRadial,Moderada,Subdetectado
BD-10 3166 b,Radial Velocity,1,3.48777,0.04,0.02,,0.59,,,80.0,10.08,5393.0,1.47,0.91,,Cercano,Media,VelocidadRadial,Circular,Subdetectado
BD-11 4672 b,Radial Velocity,1,1667.0,2.28,0.05,,0.53,,,27.3,9.99,4475.0,0.57,0.52,,Cercano,Media,VelocidadRadial,Circular,Subdetectado
BD-13 2130 b,Radial Velocity,1,714.29999,1.66,0.21,,9.78,,,766.0,9.45,4545.0,2.12,19.17,,Lejano,Media,VelocidadRadial,Moderada,Subdetectado
BD-17 63 b,Radial Velocity,1,655.59998,1.34,0.54,,2.85,,,34.49,9.566,4665.0,0.31,0.74,,Cercano,Media,VelocidadRadial,Eliptica,Subdetectado
CFBDSIR J145829+101343 b,Imaging,1,10037.5,2.6,,,10.5,,,23.1,,580.5,0.02,,,Cercano,Fría,ImagenDirecta,Desconocida,Subdetectado
CHXR 73 b,Imaging,1,,210.0,,,12.569,,,191.05,,,0.35,,,Medio,,ImagenDirecta,Desconocida,Subdetectado
CT Cha b,Imaging,1,,440.0,,,17.0,2.2,,165.0,,,,,Grande,Medio,,ImagenDirecta,Desconocida,Detectable
CoRoT-1 b,Transit,1,1.5089557,,0.0,85.1,1.03,1.49,0.38,805.31,13.6,5950.0,0.95,1.11,Mediano,Lejano,Media,Transito,Circular,Detectable
CoRoT-10 b,Transit,1,13.2406,0.1055,0.53,88.55,2.75,0.97,3.7,345.0,15.22,5075.0,0.89,0.79,Mediano,Medio,Media,Transito,Eliptica,Subdetectado
CoRoT-11 b,Transit,1,2.99433,0.0436,0.0,83.17,2.33,1.43,0.99,560.0,12.939,6440.0,1.27,1.37,Mediano,Lejano,Caliente,Transito,Circular,Detectable
CoRoT-12 b,Transit,1,2.828042,0.04016,0.07,85.48,0.917,1.44,0.411,1150.0,15.515,5675.0,1.08,1.12,Mediano,Lejano,Media,Transito,Circular,Detectable
CoRoT-13 b,Transit,1,4.03519,0.051,0.0,88.02,1.308,0.885,2.34,1060.0,15.039,5945.0,1.09,1.01,Mediano,Lejano,Media,Transito,Circular,Subdetectado
CoRoT-14 b,Transit,1,1.51214,0.027,0.0,79.6,7.6,1.09,7.3,1340.0,16.033,6035.0,1.13,1.21,Mediano,Lejano,Caliente,Transito,Circular,Detectable
CoRoT-16 b,Transit,1,5.35227,0.0618,0.33,85.01,0.535,1.17,0.44,840.0,15.63,5650.0,1.1,1.19,Mediano,Lejano,Media,Transito,Moderada,Detectable
CoRoT-17 b,Transit,1,3.7681,0.0461,0.0,88.34,2.43,1.02,2.82,920.0,15.46,5740.0,1.04,1.59,Mediano,Lejano,Media,Transito,Circular,Detectable
CoRoT-18 b,Transit,1,1.9000693,0.0295,0.08,86.5,3.47,1.31,2.2,870.0,15.0,5440.0,0.95,1.0,Mediano,Lejano,Media,Transito,Circular,Detectable
CoRoT-19 b,Transit,1,3.89713,0.0518,0.047,88.0,1.11,1.29,0.71,770.0,14.007,6090.0,1.21,1.65,Mediano,Lejano,Caliente,Transito,Circular,Detectable
CoRoT-2 b,Transit,1,1.7429935,0.02798,0.0143,88.08,3.47,1.466,1.47,200.0,12.57,5625.0,0.96,0.91,Mediano,Medio,Media,Transito,Circular,Detectable
CoRoT-20 b,Transit,2,9.24285,0.09,0.59,88.21,4.3,,,864.31,14.66,,1.14,,,Lejano,,Transito,Eliptica,Subdetectado
CoRoT-20 c,Radial Velocity,2,1675.0,2.9,0.6,,17.0,,,864.31,14.66,,1.14,,,Lejano,,VelocidadRadial,Eliptica,Subdetectado
CoRoT-21 b,Transit,1,2.72474,0.0417,0.0,86.8,2.26,1.3,1.36,1398.83,16.0,6200.0,1.29,1.95,Mediano,Lejano,Caliente,Transito,Circular,Detectable
CoRoT-22 b,Transit,1,9.75598,0.092,0.077,89.749,0.038,0.435,0.249,592.0,13.944,5939.0,1.1,1.14,Pequeño,Lejano,Media,Transito,Circular,Subdetectado
CoRoT-23 b,Transit,1,3.6313,0.048,0.16,85.7,2.8,1.05,3.0,600.0,15.63,5900.0,1.14,1.61,Mediano,Lejano,Media,Transito,Moderada,Detectable
CoRoT-24 b,Transit,2,5.1134,0.056,0.0,86.5,0.018,0.33,0.9,600.0,,4950.0,0.91,0.86,Pequeño,Lejano,Media,Transito,Circular,Subdetectado
CoRoT-24 c,Transit,2,11.759,0.098,0.0,89.0,0.088,0.44,1.3,600.0,,4950.0,0.91,0.86,Pequeño,Lejano,Media,Transito,Circular,Subdetectado
CoRoT-25 b,Transit,1,4.86069,0.0578,0.0,84.5,0.27,1.08,0.15,1000.0,,6040.0,1.09,1.19,Mediano,Lejano,Caliente,Transito,Circular,Detectable
CoRoT-26 b,Transit,1,4.20474,0.0526,0.0,86.8,0.52,1.26,0.28,1670.0,,5590.0,1.09,1.79,Mediano,Lejano,Media,Transito,Circular,Detectable
CoRoT-27 b,Transit,1,3.57532,0.0476,0.065,86.7,10.39,1.007,12.6,1035.15,15.54,5900.0,1.05,1.08,Mediano,Lejano,Media,Transito,Circular,Detectable
CoRoT-28 b,Transit,1,5.20851,0.0603,0.047,88.1,0.484,0.955,0.69,560.0,,5150.0,1.01,1.78,Mediano,Lejano,Media,Transito,Circular,Subdetectado
CoRoT-29 b,Transit,1,2.85057,0.0386,0.082,87.3,0.85,0.9,1.45,765.0,,5260.0,0.97,0.9,Mediano,Lejano,Media,Transito,Circular,Subdetectado
CoRoT-3 b,Transit,1,4.2568,,0.0,85.9,21.66,1.01,26.4,680.0,13.292,6740.0,1.37,1.56,Mediano,Lejano,Caliente,Transito,Circular,Detectable
CoRoT-4 b,Transit,1,9.20205,0.09,0.0,90.0,0.72,1.19,0.525,741.6,,6190.0,1.16,1.17,Mediano,Lejano,Caliente,Transito,Circular,Detectable
CoRoT-5 b,Transit,1,4.0378962,0.04947,0.09,85.83,0.467,1.388,0.217,904.65,,6100.0,1.0,1.19,Mediano,Lejano,Caliente,Transito,Circular,Detectable
CoRoT-6 b,Transit,1,8.886593,0.0855,0.1,89.07,2.96,1.166,2.32,657.24,13.912,6090.0,1.05,1.02,Mediano,Lejano,Caliente,Transito,Moderada,Detectable
CoRoT-7 b,Transit,2,0.85359163,,0.0,80.1,0.01,0.15,,153.7,11.668,5275.0,0.82,0.83,Pequeño,Medio,Media,Transito,Circular,Subdetectado
CoRoT-7 c,Radial Velocity,2,3.698,0.046,0.0,80.0,0.02643,,,153.7,11.668,5275.0,0.82,0.83,,Medio,Media,VelocidadRadial,Circular,Subdetectado
CoRoT-8 b,Transit,1,6.21229,0.063,0.0,88.4,0.22,0.57,1.6,380.0,14.8,5080.0,0.88,0.77,Mediano,Medio,Media,Transito,Circular,Subdetectado
CoRoT-9 b,Transit,1,95.272656,0.4021,0.133,89.9,0.84,1.066,0.86,460.0,13.69,5625.0,0.96,0.96,Mediano,Medio,Media,Transito,Moderada,Detectable
CoRoTID 223977153 b,Transit,1,6.71837,0.071,,89.0,0.15,0.57,1.1,586.2,,5970.0,1.08,0.79,Mediano,Lejano,Media,Transito,Desconocida,Subdetectado
DENIS-P J082303.1-491201 b,Astrometry,1,246.36,0.36,0.345,56.6,28.5,,,20.77,,,0.07,,,Cercano,,Otro,Moderada,Subdetectado
DH Tau b,Imaging,1,,330.0,,,11.0,,,140.0,,,0.33,0.27,,Medio,,ImagenDirecta,Desconocida,Subdetectado
DP Leo b,Eclipse Timing Variations,1,10220.0,8.19,0.39,,6.05,,,,,,0.69,,,,,Otro,Moderada,Subdetectado
EPIC 211822797 b,Transit,1,21.169861,0.131,0.06,89.73,,0.177,,187.19,15.256,4148.21,0.66,0.57,Pequeño,Medio,Media,Transito,Circular,Subdetectado
EPIC 211945201 b,Transit,1,19.49221,0.1493,,,,0.514,,182.69,10.154,6069.0,1.17,1.39,Mediano,Medio,Caliente,Transito,Desconocida,Subdetectado
EPIC 220674823 b,Transit,2,0.571331,0.0134,,,,0.162,,246.1,12.102,5617.0,0.97,0.98,Pequeño,Medio,Media,Transito,Desconocida,Subdetectado
EPIC 220674823 c,Transit,2,13.339079,0.1091,,,,0.244,,246.1,12.102,5617.0,0.97,0.98,Pequeño,Medio,Media,Transito,Desconocida,Subdetectado
EPIC 246851721 b,Transit,1,6.180235,0.07229,,86.21,3.0,1.051,3.1,336.7,11.439,6202.0,1.32,1.59,Mediano,Medio,Caliente,Transito,Desconocida,Detectable
FU Tau b,Imaging,1,,800.0,,,16.0,,,140.0,,2838.0,0.05,,,Medio,Fría,ImagenDirecta,Desconocida,Subdetectado
Fomalhaut b,Imaging,1,555530.0,160.0,0.87,55.0,,,,7.7,1.16,,1.92,,,Cercano,,ImagenDirecta,Eliptica,Subdetectado
GJ 1132 b,Transit,2,1.628931,0.0153,0.22,,0.00522,,6.3,12.04,13.49,3270.0,0.18,0.21,,Cercano,Fría,Transito,Moderada,Subdetectado
GJ 1132 c,Transit,2,8.929,0.0476,0.27,,0.00831,,,12.04,13.49,3270.0,0.18,0.21,,Cercano,Fría,Transito,Moderada,Subdetectado
GJ 1148 b,Radial Velocity,2,41.38,0.166,0.38,,0.30425,,,11.02,11.92,3264.0,0.35,0.4,,Cercano,Fría,VelocidadRadial,Moderada,Subdetectado
GJ 1148 c,Radial Velocity,2,532.58,0.912,0.342,,0.21414,,,11.02,11.92,3264.0,0.35,0.4,,Cercano,Fría,VelocidadRadial,Moderada,Subdetectado
GJ 1214 b,Transit,1,1.58040456,0.01411,,88.17,0.0197,0.254,1.49,12.95,15.1,3026.0,0.15,0.22,Pequeño,Cercano,Fría,Transito,Desconocida,Subdetectado
GJ 1265 b,Radial Velocity,1,3.6511,0.026,0.04,,0.02328,,,10.26,13.57,3236.0,0.18,0.19,,Cercano,Fría,VelocidadRadial,Circular,Subdetectado
GJ 143 b,Transit,1,35.589,0.1932,0.325,,0.09637,,,16.33,7.87,,0.76,0.73,,Cercano,,Transito,Moderada,Subdetectado
GJ 163 b,Radial Velocity,3,8.63182,0.0607,0.073,,0.03335,,,15.14,11.81,3500.0,0.4,,,Cercano,Fría,VelocidadRadial,Circular,Subdetectado
GJ 163 c,Radial Velocity,3,25.63058,0.1254,0.099,,0.0214,,,15.14,11.81,3500.0,0.4,,,Cercano,Fría,VelocidadRadial,Circular,Subdetectado
GJ 163 d,Radial Velocity,3,603.95116,1.0304,0.373,,0.0925,,,15.14,11.81,3500.0,0.4,,,Cercano,Fría,VelocidadRadial,Moderada,Subdetectado
GJ 179 b,Radial Velocity,1,2288.0,2.41,0.21,,0.82,,,12.36,12.0,3370.0,0.36,0.38,,Cercano,Fría,VelocidadRadial,Moderada,Subdetectado
GJ 273 b,Radial Velocity,2,18.6498,0.091101,0.1,,0.00909,,,3.8,9.872,3382.0,0.29,0.29,,Cercano,Fría,VelocidadRadial,Moderada,Subdetectado
GJ 273 c,Radial Velocity,2,4.7234,0.036467,0.17,,0.00371,,,3.8,9.872,3382.0,0.29,0.29,,Cercano,Fría,VelocidadRadial,Moderada,Subdetectado
GJ 3021 b,Radial Velocity,1,133.71,0.49,0.511,,3.37,,,17.56,6.59,5540.0,0.9,0.9,,Cercano,Media,VelocidadRadial,Eliptica,Subdetectado
GJ 3138 b,Radial Velocity,3,1.22003,0.0197,0.19,,0.0056,,,,10.98,3717.0,0.68,0.5,,,Fría,VelocidadRadial,Moderada,Subdetectado
GJ 3138 c,Radial Velocity,3,5.974,0.057,0.11,,0.01315,,,,10.98,3717.0,0.68,0.5,,,Fría,VelocidadRadial,Moderada,Subdetectado
GJ 3138 d,Radial Velocity,3,257.8,0.698,0.32,,0.03304,,,,10.98,3717.0,0.68,0.5,,,Fría,VelocidadRadial,Moderada,Subdetectado
GJ 317 b,Radial Velocity,2,692.0,1.15,0.11,45.0,2.5,,,15.1,11.97,3510.0,0.42,,,Cercano,Fría,VelocidadRadial,Moderada,Subdetectado
GJ 317 c,Radial Velocity,2,5312.0,,0.308,,1.54,,,15.1,11.97,3510.0,0.42,,,Cercano,Fría,VelocidadRadial,Moderada,Subdetectado
GJ 328 b,Radial Velocity,1,4100.0,4.5,0.37,,2.3,,,20.54,9.97,3900.0,0.69,,,Cercano,Fría,VelocidadRadial,Moderada,Subdetectado
GJ 3293 b,Radial Velocity,4,30.5987,0.14339,0.06,,0.07406,,,20.2,11.962,3466.0,0.42,0.4,,Cercano,Fría,VelocidadRadial,Circular,Subdetectado
GJ 3293 c,Radial Velocity,4,122.6196,0.36175,0.11,,0.06636,,,20.2,11.962,3466.0,0.42,0.4,,Cercano,Fría,VelocidadRadial,Moderada,Subdetectado
GJ 3293 d,Radial Velocity,4,48.1345,0.19394,0.12,,0.02391,,,20.2,11.962,3466.0,0.42,0.4,,Cercano,Fría,VelocidadRadial,Moderada,Subdetectado
GJ 3293 e,Radial Velocity,4,13.2543,0.08208,0.21,,0.01032,,,20.2,11.962,3466.0,0.42,0.4,,Cercano,Fría,VelocidadRadial,Moderada,Subdetectado
GJ 3323 b,Radial Velocity,2,5.3636,0.03282,0.23,,0.00636,,,5.32,12.22,3159.0,0.16,0.12,,Cercano,Fría,VelocidadRadial,Moderada,Subdetectado
GJ 3323 c,Radial Velocity,2,40.54,0.1264,0.17,,0.00727,,,5.32,12.22,3159.0,0.16,0.12,,Cercano,Fría,VelocidadRadial,Moderada,Subdetectado
GJ 3341 b,Radial Velocity,1,14.207,0.089,0.31,,0.0208,,,23.16,12.08,3526.0,0.47,0.44,,Cercano,Fría,VelocidadRadial,Moderada,Subdetectado
GJ 3470 b,Radial Velocity,1,3.3366496,0.0355,,89.13,0.04373,0.408,0.8,25.2,12.33,3600.0,0.54,0.55,Pequeño,Cercano,Fría,VelocidadRadial,Desconocida,Subdetectado
GJ 3634 b,Radial Velocity,1,2.64561,0.0287,0.08,59.0,0.026,,,19.8,11.93,,0.45,0.43,,Cercano,,VelocidadRadial,Circular,Subdetectado
GJ 3779 b,Radial Velocity,1,3.0232,0.026,0.07,,0.02517,,,13.75,12.96,3324.0,0.27,0.28,,Cercano,Fría,VelocidadRadial,Circular,Subdetectado
GJ 378 b,Radial Velocity,1,3.822,0.039435,0.109,,0.04097,,,14.96,10.19,3879.0,0.56,0.56,,Cercano,Fría,VelocidadRadial,Moderada,Subdetectado
GJ 3942 b,Radial Velocity,1,6.905,0.0608,0.121,,0.02246,,,16.94,10.25,3867.0,0.63,0.61,,Cercano,Fría,VelocidadRadial,Moderada,Subdetectado
GJ 3998 b,Radial Velocity,2,2.64977,0.029,0.0,,0.00777,,,17.79,10.83,3722.0,0.5,0.49,,Cercano,Fría,VelocidadRadial,Circular,Subdetectado
GJ 3998 c,Radial Velocity,2,13.74,0.089,0.049,,0.0197,,,17.79,10.83,3722.0,0.5,0.49,,Cercano,Fría,VelocidadRadial,Circular,Subdetectado
GJ 411 b,Radial Velocity,1,12.9532,0.0785,0.22,,0.00941,,,2.55,7.49,3563.0,0.39,0.39,,Cercano,Fría,VelocidadRadial,Moderada,Subdetectado
GJ 4276 b,Radial Velocity,1,13.352,0.082,0.37,,0.05213,,,21.35,,3387.0,0.41,0.41,,Cercano,Fría,VelocidadRadial,Moderada,Subdetectado
GJ 433 b,Radial Velocity,1,7.3709,0.06,0.08,,0.02,,,9.07,9.806,3461.0,0.59,0.5,,Cercano,Fría,VelocidadRadial,Circular,Subdetectado
GJ 436 b,Radial Velocity,1,2.64388312,0.0291,0.13827,86.44,0.07,0.372,1.8,9.76,10.67,,0.47,0.46,Pequeño,Cercano,,VelocidadRadial,Moderada,Subdetectado
GJ 504 b,Imaging,1,,43.5,,,4.0,,,17.54,5.22,6234.0,1.22,,,Cercano,Caliente,ImagenDirecta,Desconocida,Subdetectado
GJ 536 b,Radial Velocity,1,8.7076,0.06661,0.08,,0.01686,,,10.03,9.72,3685.0,0.52,0.5,,Cercano,Fría,VelocidadRadial,Circular,Subdetectado
GJ 581 b,Radial Velocity,3,5.3686,0.04061,0.0,,0.0497,,,6.3,10.56,,0.31,0.29,,Cercano,,VelocidadRadial,Circular,Subdetectado
GJ 581 c,Radial Velocity,3,12.914,0.0721,0.0,,0.0173,,,6.3,10.56,,0.31,0.29,,Cercano,,VelocidadRadial,Circular,Subdetectado
GJ 581 e,Radial Velocity,3,3.149,0.02815,0.0,,0.0053,,,6.3,10.56,,0.31,0.29,,Cercano,,VelocidadRadial,Circular,Subdetectado
GJ 625 b,Radial Velocity,1,14.628,0.078361,0.13,,0.00887,,,6.49,10.1,3499.0,0.3,0.31,,Cercano,Fría,VelocidadRadial,Moderada,Subdetectado
GJ 649 b,Radial Velocity,1,598.3,1.135,0.3,,0.328,,,10.38,9.69,3700.0,0.54,,,Cercano,Fría,VelocidadRadial,Moderada,Subdetectado
GJ 667 C b,Radial Velocity,5,7.2004,0.0505,0.13,,0.018,,,6.8,10.22,3350.0,0.33,,,Cercano,Fría,VelocidadRadial,Moderada,Subdetectado
GJ 667 C c,Radial Velocity,5,28.14,0.125,0.02,,0.012,,,6.8,10.22,3350.0,0.33,,,Cercano,Fría,VelocidadRadial,Circular,Subdetectado
GJ 667 C e,Radial Velocity,5,62.24,0.213,0.02,,0.008,,,6.8,10.22,3350.0,0.33,,,Cercano,Fría,VelocidadRadial,Circular,Subdetectado
GJ 667 C f,Radial Velocity,5,39.026,0.156,0.03,,0.008,,,6.8,10.22,3350.0,0.33,,,Cercano,Fría,VelocidadRadial,Circular,Subdetectado
GJ 667 C g,Radial Velocity,5,256.2,0.549,0.08,,0.014,,,6.8,10.22,3350.0,0.33,,,Cercano,Fría,VelocidadRadial,Circular,Subdetectado
GJ 674 b,Radial Velocity,1,4.6938,0.039,0.2,,0.035,,,4.55,9.37,3600.0,0.35,,,Cercano,Fría,VelocidadRadial,Moderada,Subdetectado
